,Problem #,Language,Model Exe Time,KS Distance - All,KS Score - All,KS Exe Time - All,KS Distance - SS,KS Score - SS,KS Exe Time - SS,KL Divergence,KL Exe Time
0,1,pymc_model,1.7741472721099854,0.13316413760185242,0.999393008411383,0.6405129432678223,0.11531621217727661,0.9999810776796075,0.5797791481018066,0.2138940387199413,0.0012958049774169922
1,1,pyro_model,1.224640130996704,0.11917653679847717,0.9999998588258103,0.660703182220459,0.11917653679847717,0.9999999998348253,0.49573373794555664,0.19780214991396258,0.0010879039764404297
2,1,stan_model,0.7211618423461914,0.13316413760185242,0.999393008411383,0.6955089569091797,0.13261288404464722,0.9999998538511712,0.5413258075714111,0.21366763056341764,0.001708984375
3,2,pymc_model,1.5175800323486328,0.08788400888442993,1.0,0.4320261478424072,0.08155328035354614,1.0,0.41515207290649414,0.048740583475152185,0.0009379386901855469
4,2,pyro_model,1.1836137771606445,0.09343293309211731,0.9999999999999903,0.46653223037719727,0.09155327081680298,0.9999999999999903,0.46208715438842773,0.06008493347621942,0.0012619495391845703
5,2,stan_model,0.2634618282318115,0.08558779954910278,1.0,0.4272949695587158,0.08349427580833435,1.0,0.41153407096862793,0.04475326078898775,0.0009176731109619141
6,3,pymc_model,1.0945651531219482,0.1072557270526886,0.9999999998782144,0.5158679485321045,0.07918113470077515,0.9999999998782144,0.49275898933410645,0.02603828346053618,0.0009760856628417969
7,3,pyro_model,1.493161916732788,0.10462936758995056,0.9999999998754985,0.5156662464141846,0.10462936758995056,0.9999999999999895,0.45015907287597656,0.02156295573837006,0.0008740425109863281
8,3,stan_model,0.13057994842529297,0.10462936758995056,0.999999999877551,0.5096278190612793,0.09724700450897217,0.9999999999999897,0.45555996894836426,0.023984516231814808,0.0008208751678466797
9,4,pymc_model,2.61338210105896,0.0822553038597107,1.0,0.4810140132904053,0.053929686546325684,1.0,0.3440067768096924,0.3828104456233938,0.0023560523986816406
10,4,pyro_model,4.734802007675171,0.0822553038597107,1.0,0.43236207962036133,0.06496238708496094,1.0,0.2894458770751953,0.3888498499444559,0.0013267993927001953
11,4,stan_model,0.8152191638946533,0.0822553038597107,1.0,0.44710206985473633,0.06096446514129639,1.0,0.470181941986084,0.3776646969140864,0.0019779205322265625
12,5,pymc_model,3.721623182296753,0.05407726764678955,1.0,0.41833972930908203,0.04266095161437988,1.0,0.2637510299682617,0.4130543120759088,0.00218963623046875
13,5,pyro_model,4.726653099060059,0.05407726764678955,1.0,0.3297920227050781,0.04543280601501465,1.0,0.2590510845184326,0.4253136408095993,0.0012538433074951172
14,5,stan_model,1.1836237907409668,0.05407726764678955,1.0,0.3143949508666992,0.04386579990386963,1.0,0.26539087295532227,0.4112243167277652,0.0012159347534179688
15,6,pymc_model,2.363088846206665,0.06266099214553833,1.0,0.3549964427947998,0.041946157813072205,1.0,0.29311513900756836,0.3146591560143883,0.0017578601837158203
16,6,pyro_model,4.27007794380188,0.06189286708831787,1.0,0.39626383781433105,0.04885682463645935,1.0,0.2567269802093506,0.31102645232089454,0.0012080669403076172
17,6,stan_model,0.5994827747344971,0.06290626525878906,1.0,0.36003923416137695,0.04640233516693115,1.0,0.2640848159790039,0.3146039554074185,0.0011839866638183594
18,7,pymc_model,2.8929357528686523,0.21392083168029785,0.27342744472029856,1.9165360927581787,0.19907528162002563,0.7606039451110808,1.6407039165496826,0.011376724745455018,0.0019159317016601562
19,7,pyro_model,3.892202138900757,0.2119866907596588,0.2732400213225733,1.9520361423492432,0.18230625987052917,0.8967852966972661,1.5570127964019775,0.011350864477740088,0.0009169578552246094
20,7,stan_model,0.2684471607208252,0.2134307622909546,0.27331743487081905,2.134752035140991,0.2134307622909546,0.5865544995118225,1.724336862564087,0.011393142525644284,0.006311893463134766
21,8,pymc_model,1.9837849140167236,0.10771596431732178,0.9999999999999997,1.020998239517212,0.08540120720863342,1.0,0.8942179679870605,0.0022135715039931793,0.0009610652923583984
22,8,pyro_model,3.183135986328125,0.11771595478057861,0.9999999999818807,1.1149568557739258,0.059106528759002686,1.0,0.9005451202392578,0.002266807740214794,0.0009608268737792969
23,8,stan_model,0.4346129894256592,0.11771595478057861,0.9999999999820515,1.1135523319244385,0.08711206912994385,1.0,0.8204588890075684,0.002338806834594219,0.0008981227874755859
24,9,pymc_model,2.466101884841919,0.10536003112792969,0.9999999999999996,1.0293049812316895,0.0854223370552063,1.0,0.8953089714050293,0.0011644722915022771,0.0010459423065185547
25,9,pyro_model,3.166091203689575,0.10536003112792969,0.9999999999999996,1.0047171115875244,0.07514560222625732,1.0,0.8164191246032715,0.0012389993505631633,0.0009453296661376953
26,9,stan_model,0.7674167156219482,0.10536003112792969,0.9999999999999996,1.0016019344329834,0.09542235732078552,1.0,0.8401389122009277,0.0011450702255713153,0.0008690357208251953
27,10,pymc_model,2.468940019607544,0.1225317120552063,0.9997060314048988,15.095955848693848,0.0941649079322815,0.9999976132614827,9.354943037033081,8.838735229260606e-08,0.006206035614013672
28,10,pyro_model,4.315356969833374,0.12253585457801819,0.9997084106042032,17.70565891265869,0.1104467511177063,1.0,6.7160680294036865,9.02278435553627e-08,0.004881143569946289
29,10,stan_model,1.0713422298431396,0.12206268310546875,0.9997087268196025,15.40747880935669,0.10088753700256348,0.9999976444554823,9.612343072891235,8.762625659474051e-08,0.0025742053985595703
30,11,pymc_model,3.124979019165039,0.0864298939704895,0.9999999999534432,118.9346330165863,0.07574355602264404,1.0,28.31817388534546,1.660302794175973e-10,0.0055999755859375
31,11,pyro_model,5.073592901229858,0.0864298939704895,0.9999999999520258,122.16577291488647,0.06241588294506073,1.0,30.793431997299194,1.656211978826095e-10,0.0023338794708251953
32,11,stan_model,1.8411028385162354,0.0864298939704895,0.9999999999531112,121.81140303611755,0.07120740413665771,1.0,29.242937803268433,1.6732389356293626e-10,0.006619930267333984
33,12,pymc_model,3.4952168464660645,0.06539125740528107,0.9999999993068185,4613.84348487854,0.06539125740528107,1.0,588.4453599452972,8.899233063009428e-15,0.007281064987182617
34,12,pyro_model,5.352509260177612,0.06584471464157104,0.9999999993006905,8881.802425146103,0.05732047185301781,1.0,637.0101039409637,8.799759288598152e-15,0.01343393325805664
35,12,stan_model,2.2658350467681885,0.06572160124778748,0.9999999992932652,4718.9379551410675,0.05359875410795212,1.0,643.5791621208191,8.871899469487267e-15,0.018697023391723633
