,Problem #,Language,Model Exe Time,KS Distance - All,KS Score - All,KS Exe Time - All,KS Distance - SS,KS Score - SS,KS Exe Time - SS,KL Divergence,KL Exe Time
0,7,pymc_model,2.8148720264434814,0.0733715295791626,1.0,0.40137600898742676,0.058170318603515625,1.0,0.3441500663757324,0.38469032886868215,0.004305124282836914
1,7,pyro_model,4.144197225570679,0.0733715295791626,1.0,0.39336085319519043,0.04970109462738037,1.0,0.24981117248535156,0.3791032979775389,0.0012161731719970703
2,7,stan_model,0.7378780841827393,0.0733715295791626,1.0,0.5332798957824707,0.05665695667266846,1.0,0.29959797859191895,0.3803835121376258,0.0017800331115722656
3,8,pymc_model,2.397400140762329,0.05407726764678955,1.0,0.34288597106933594,0.034616708755493164,1.0,0.24965596199035645,0.41343045498332287,0.0014579296112060547
4,8,pyro_model,3.735285997390747,0.05407726764678955,1.0,0.30899715423583984,0.04429793357849121,1.0,0.2539088726043701,0.4131792876992104,0.0016121864318847656
5,8,stan_model,0.1841588020324707,0.05407726764678955,1.0,0.32715415954589844,0.04463261365890503,1.0,0.25197911262512207,0.4129785095463012,0.0012199878692626953
6,9,pymc_model,2.441149950027466,0.06262129545211792,1.0,0.36165809631347656,0.05895596742630005,1.0,0.25052380561828613,0.3123440483897113,0.0015637874603271484
7,9,pyro_model,4.597955942153931,0.06318902969360352,1.0,0.3738570213317871,0.04934728145599365,1.0,0.28953003883361816,0.3169565438977545,0.0011739730834960938
8,9,stan_model,0.20720291137695312,0.06258237361907959,1.0,0.35866594314575195,0.055301785469055176,1.0,0.24551892280578613,0.31396468868908933,0.001154184341430664
9,10,pymc_model,2.1848361492156982,0.09415651857852936,0.999999999999991,0.4789011478424072,0.09105303138494492,1.0,0.28905797004699707,0.5967870521434882,0.0015959739685058594
10,10,pyro_model,4.002340078353882,0.09491004794836044,0.9999999999999901,0.5080881118774414,0.09178603440523148,1.0,0.40897703170776367,0.6025819717480339,0.0012021064758300781
11,10,stan_model,0.14652276039123535,0.09420666843652725,0.9999999999999903,0.48723387718200684,0.0790632888674736,1.0,0.4248828887939453,0.5965198392524589,0.0012118816375732422
12,11,pymc_model,2.3011298179626465,0.11247144639492035,0.9999999880693428,0.5618240833282471,0.10660707950592041,0.9999999999933477,0.5080623626708984,0.6802665128754922,0.0013592243194580078
13,11,pyro_model,3.807222604751587,0.11402469873428345,0.999999988412967,0.5704100131988525,0.11212122440338135,0.9999999999935895,0.5146539211273193,0.6832596214655886,0.0011646747589111328
14,11,stan_model,0.15542030334472656,0.11762261390686035,0.9999999886740745,0.5687847137451172,0.11239372193813324,0.9999999999937769,0.5076208114624023,0.6812806681629725,0.001486063003540039
15,12,pymc_model,2.2257609367370605,0.08896788954734802,1.0,0.4426910877227783,0.08896788954734802,1.0,0.39066290855407715,0.5641627846885269,0.0015039443969726562
16,12,pyro_model,4.045582056045532,0.08775275945663452,1.0,0.4371199607849121,0.07987000048160553,1.0,0.3856029510498047,0.5676720112632023,0.0012142658233642578
17,12,stan_model,0.18413901329040527,0.08812771737575531,1.0,0.4443168640136719,0.08812771737575531,1.0,0.3830568790435791,0.5654257668738611,0.0011768341064453125
18,13,pymc_model,2.322943925857544,0.16338658332824707,0.9082977522464228,0.7811169624328613,0.15579837560653687,0.9736722791066059,0.7239129543304443,0.8863952810592215,0.0014629364013671875
19,13,pyro_model,3.955944776535034,0.16227608919143677,0.9085021633584451,0.7647769451141357,0.15366142988204956,0.9957043692609908,0.6767771244049072,0.884106441157513,0.0013699531555175781
20,13,stan_model,0.15508723258972168,0.16303080320358276,0.9079925256885216,0.8566620349884033,0.15427911281585693,0.9956481579659779,0.6755232810974121,0.8851640870620611,0.0012879371643066406
21,14,pymc_model,2.1260852813720703,0.1553817242383957,0.9815533861088314,0.7232189178466797,0.15294574201107025,0.9999967060614259,0.5793137550354004,1.3126337080124344,0.0014300346374511719
22,14,pyro_model,3.8780007362365723,0.1553817242383957,0.9812121820965146,0.7373239994049072,0.15212121605873108,0.9998332873761052,0.6272063255310059,1.3120976878385027,0.0016260147094726562
23,14,stan_model,0.19401216506958008,0.1553817242383957,0.9815193673492566,0.7211849689483643,0.15437525510787964,0.9815193673492566,0.7010340690612793,1.3139648582181658,0.0012249946594238281
24,15,pymc_model,2.3278801441192627,0.12866099178791046,0.9999866523140681,0.6143770217895508,0.10189221799373627,0.9999998998434303,0.5422017574310303,1.365436935581444,0.001508951187133789
25,15,pyro_model,3.742673873901367,0.12863948941230774,0.9999865773345906,0.6124827861785889,0.10998308658599854,0.9999999998776823,0.4958150386810303,1.3644654235104985,0.0011630058288574219
26,15,stan_model,0.1978459358215332,0.12868595123291016,0.9999866433272386,0.6077139377593994,0.0948602557182312,0.9999998996521575,0.5406451225280762,1.3660816524401,0.001280069351196289
